Datetime,Water Level (m)
2023-10-06 06:00:00,0.040983073
2023-10-06 07:00:00,-0.22002201
2023-10-06 08:00:00,-0.34525084
2023-10-06 09:00:00,-0.19607158
2023-10-06 10:00:00,0.16864409
2023-10-06 11:00:00,0.5625219
2023-10-06 12:00:00,0.9074666
2023-10-06 13:00:00,1.1236784
2023-10-06 14:00:00,1.1454105
2023-10-06 15:00:00,0.959537
2023-10-06 16:00:00,0.66302943
2023-10-06 17:00:00,0.33428174
2023-10-06 18:00:00,0.025315342
2023-10-06 19:00:00,-0.2237902
2023-10-06 20:00:00,-0.32120743
2023-10-06 21:00:00,-0.12322064
2023-10-06 22:00:00,0.26033393
2023-10-06 23:00:00,0.6669861
2023-10-07 00:00:00,1.0438826
2023-10-07 01:00:00,1.3248652
2023-10-07 02:00:00,1.433458
2023-10-07 03:00:00,1.3266343
2023-10-07 04:00:00,1.0696925
2023-10-07 05:00:00,0.7490161
2023-10-07 06:00:00,0.40771198
2023-10-07 07:00:00,0.08052574
2023-10-07 08:00:00,-0.190018
2023-10-07 09:00:00,-0.36921328
2023-10-07 10:00:00,-0.36188313
2023-10-07 11:00:00,-0.11619197
2023-10-07 12:00:00,0.22862367
2023-10-07 13:00:00,0.5611121
2023-10-07 14:00:00,0.82507265
2023-10-07 15:00:00,0.9710726
2023-10-07 16:00:00,0.96869475
2023-10-07 17:00:00,0.8113868
2023-10-07 18:00:00,0.55766165
2023-10-07 19:00:00,0.27514997
2023-10-07 20:00:00,0.017776063
2023-10-07 21:00:00,-0.1731542
2023-10-07 22:00:00,-0.22346433
2023-10-07 23:00:00,-0.044847537
2023-10-08 00:00:00,0.28820902
2023-10-08 01:00:00,0.6491077
2023-10-08 02:00:00,0.9734445
2023-10-08 03:00:00,1.2071393
2023-10-08 04:00:00,1.2990733
2023-10-08 05:00:00,1.1959871
2023-10-08 06:00:00,0.94966036
2023-10-08 07:00:00,0.63495415
2023-10-08 08:00:00,0.30194557
2023-10-08 09:00:00,-0.006102461
2023-10-08 10:00:00,-0.26121208
2023-10-08 11:00:00,-0.4238523
2023-10-08 12:00:00,-0.39017993
2023-10-08 13:00:00,-0.100104675
2023-10-08 14:00:00,0.28981262
2023-10-08 15:00:00,0.662481
